"LAYER","NAME","LAT","LON"
"Brown Noddy (B)","B222",-16.60643578,145.9747808
"Brown Noddy (B)","B221",-16.60653942,145.9738477
"Brown Noddy (B)","B222",-16.60658181,145.9737091
"Brown Noddy (B)","B223",-16.60656911,145.9737002
"Brown Noddy (B)","B224",-16.60676201,145.9737112
"Brown Noddy (B)","B225",-16.6067997,145.97375
"Brown Noddy (B)","B226",-16.60680082,145.9730845
"Brown Noddy (B)","B227",-16.60687781,145.9733076
"Brown Noddy (B)","B228",-16.60688131,145.9733155
"Brown Noddy (B)","B229",-16.60688691,145.9733037
"Brown Noddy (B)","B230",-16.60688775,145.9733089
"Brown Noddy (B)","B231",-16.60689457,145.9733144
"Brown Noddy (B)","B232",-16.6068987,145.9733087
"Brown Noddy (B)","B233",-16.60690063,145.9733166
"Brown Noddy (B)","B234",-16.60690154,145.9733117
"Brown Noddy (B)","B235",-16.60690511,145.9733098
"Brown Noddy (B)","B236",-16.60690395,145.9733142
"Brown Noddy (B)","B237",-16.60689689,145.9732984
"Brown Noddy (B)","B238",-16.6069162,145.9733148
"Brown Noddy (B)","B239",-16.60691709,145.9733137
"Brown Noddy (B)","B240",-16.60691654,145.973301
"Brown Noddy (B)","B241",-16.60691277,145.9733037
"Brown Noddy (B)","B242",-16.60690872,145.9733015
"Brown Noddy (B)","B243",-16.60690667,145.9733005
"Brown Noddy (B)","B244",-16.60690306,145.9733023
"Brown Noddy (B)","B245",-16.60690396,145.9732987
"Brown Noddy (B)","B246",-16.60690713,145.9732962
"Brown Noddy (B)","B247",-16.60691073,145.9732989
"Brown Noddy (B)","B248",-16.60692242,145.9733089
"Brown Noddy (B)","B249",-16.60692164,145.9733163
"Brown Noddy (B)","B250",-16.60693324,145.9733021
"Brown Noddy (B)","B251",-16.60693405,145.9733105
"Brown Noddy (B)","B252",-16.60693561,145.9733174
"Brown Noddy (B)","B253",-16.60693572,145.9732975
"Brown Noddy (B)","B254",-16.60693774,145.9733029
"Brown Noddy (B)","B255",-16.60693999,145.9733016
"Brown Noddy (B)","B256",-16.60694503,145.9733028
"Brown Noddy (B)","B257",-16.60694813,145.9732992
